RPeakID,RPeakTime,ParticipantID
51,32.133,16
52,32.759,16
53,33.378,16
54,33.999,16
55,34.615,16
56,35.224,16
57,35.832,16
58,36.446,16
59,37.052,16
60,37.658,16
61,38.279,16
62,38.902,16
63,39.524,16
64,40.153,16
65,40.778,16
66,41.402,16
67,42.026,16
68,42.651,16
69,43.262,16
70,43.865,16
71,44.476,16
72,45.088,16
73,45.696,16
74,46.311,16
75,46.913,16
76,47.511,16
77,48.111,16
78,48.711,16
79,49.308,16
80,49.909,16
81,50.51,16
82,51.102,16
83,51.702,16
84,52.302,16
85,52.893,16
86,53.48,16
87,54.085,16
88,54.686,16
89,55.286,16
90,55.879,16
91,56.472,16
92,57.063,16
93,57.648,16
94,58.229,16
95,58.813,16
96,59.392,16
97,59.967,16
98,60.553,16
99,61.144,16
1,0.129,17
2,0.791,17
3,1.401,17
4,1.999,17
5,2.596,17
6,3.226,17
7,3.919,17
8,4.623,17
9,5.384,17
10,6.154,17
11,6.907,17
12,7.643,17
13,8.386,17
14,9.11,17
15,9.805,17
16,10.454,17
17,11.083,17
18,11.7,17
19,12.32,17
20,12.915,17
21,13.53,17
22,14.142,17
23,14.775,17
24,15.405,17
25,16.036,17
26,16.689,17
27,17.352,17
28,18.008,17
29,18.65,17
30,19.283,17
31,19.908,17
32,20.525,17
33,21.124,17
34,21.726,17
35,22.339,17
36,22.963,17
37,23.594,17
38,24.225,17
39,24.869,17
40,25.511,17
41,26.145,17
42,26.755,17
43,27.361,17
44,27.967,17
45,28.573,17
46,29.174,17
47,29.761,17
48,30.355,17
49,30.959,17
50,31.569,17
51,32.183,17
52,32.793,17
53,33.415,17
54,34.053,17
55,34.698,17
56,35.317,17
57,35.931,17
58,36.54,17
59,37.148,17
60,37.743,17
61,38.327,17
62,38.922,17
63,39.528,17
64,40.174,17
65,40.811,17
66,41.461,17
67,42.12,17
68,42.783,17
69,43.428,17
70,44.06,17
71,44.688,17
72,45.31,17
73,45.923,17
74,46.517,17
